go_id,pathway_name,pathway_name
GO:0044091,membrane biogenesis,ecm
GO:1902966,positive regulation of protein localization to early endosome,cytosis-osome-vesicle
GO:1905166,negative regulation of lysosomal protein catabolic process,catabolic
GO:0032224,"positive regulation of synaptic transmission, cholinergic",synapse
GO:0000305,response to oxygen radical,cellular-response
GO:0071517,maintenance of imprinting at mating-type locus,reproduction
GO:0050680,negative regulation of epithelial cell proliferation,cell-division
GO:1901987,regulation of cell cycle phase transition,cell-cycle
GO:0034755,iron ion transmembrane transport,transport
GO:0097068,response to thyroxine,cellular-response
GO:1905711,response to phosphatidylethanolamine,cellular-response
GO:0046836,glycolipid transport,transport
GO:0010189,vitamin E biosynthetic process,metabolic-biosynthesis
GO:0030100,regulation of endocytosis,cytosis-osome-vesicle
GO:0048711,positive regulation of astrocyte differentiation,brain
GO:0060988,lipid tube assembly,lipid
GO:0071156,regulation of cell cycle arrest,cell-cycle
GO:1902960,negative regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process,catabolic
GO:1903946,negative regulation of ventricular cardiac muscle cell action potential,muscle
GO:1904878,negative regulation of calcium ion transmembrane transport via high voltage-gated calcium channel,transport
GO:0051647,nucleus localization,metabolic-biosynthesis
GO:0006659,phosphatidylserine biosynthetic process,metabolic-biosynthesis
GO:1901384,positive regulation of chorionic trophoblast cell proliferation,lymphoid
GO:0070093,negative regulation of glucagon secretion,secretion
GO:0042753,positive regulation of circadian rhythm,circadian-rhythm
GO:0021759,globus pallidus development,brain
GO:0021798,forebrain dorsal/ventral pattern formation,brain
GO:0021877,forebrain neuron fate commitment,neuron
GO:0021879,forebrain neuron differentiation,neuron
GO:0021892,cerebral cortex GABAergic interneuron differentiation,neuron
GO:0022029,telencephalon cell migration,brain
GO:0031128,developmental induction,brain
GO:0048663,neuron fate commitment,neuron
GO:0060486,club cell differentiation,lymphoid
GO:0006700,C21-steroid hormone biosynthetic process,metabolic-biosynthesis
GO:0044281,small molecule metabolic process,metabolic-biosynthesis
GO:0070849,response to epidermal growth factor,growth-regulation
GO:0072584,caveolin-mediated endocytosis,cytosis-osome-vesicle
GO:0019858,cytosine metabolic process,metabolic-biosynthesis
GO:0030278,regulation of ossification,osteo-bone
GO:0033598,mammary gland epithelial cell proliferation,glands
GO:0038127,ERBB signaling pathway,growth-regulation
GO:0060020,Bergmann glial cell differentiation,brain
GO:0060440,trachea formation,lung
GO:0061308,cardiac neural crest cell development involved in heart development,neural-crest
GO:0030048,actin filament-based movement,muscle
GO:0006930,"substrate-dependent cell migration, cell extension",lymphoid
GO:0021592,fourth ventricle development,heart
GO:0021678,third ventricle development,heart
GO:0055015,ventricular cardiac muscle cell development,muscle
GO:0098885,modification of postsynaptic actin cytoskeleton,synapse
GO:2000479,regulation of cAMP-dependent protein kinase activity,kinase
GO:0034199,activation of protein kinase A activity,muscle
GO:0071377,cellular response to glucagon stimulus,muscle
GO:0022027,interkinetic nuclear migration,muscle
GO:0071539,protein localization to centrosome,cytoskeleton
GO:0034454,microtubule anchoring at centrosome,cytoskeleton
GO:0006561,proline biosynthetic process,metabolic-biosynthesis
GO:0008652,cellular amino acid biosynthetic process,metabolic-biosynthesis
GO:0055129,L-proline biosynthetic process,metabolic-biosynthesis
GO:1903206,negative regulation of hydrogen peroxide-induced cell death,cell-death
GO:0002769,natural killer cell inhibitory signaling pathway,lymphoid
GO:1904290,negative regulation of mitotic DNA damage checkpoint,cell-division
GO:0030323,respiratory tube development,neural-tube
GO:0097745,mitochondrial tRNA 5'-end processing,ribosome
GO:0015742,alpha-ketoglutarate transport,transport
GO:0018342,protein prenylation,protein-processing
GO:0018343,protein farnesylation,protein-processing
GO:0090045,positive regulation of deacetylase activity,metabolic-biosynthesis
GO:0045213,neurotransmitter receptor metabolic process,neurotransmitters
GO:0071340,skeletal muscle acetylcholine-gated channel clustering,neurotransmitters
GO:0090044,positive regulation of tubulin deacetylation,cytoskeleton
GO:0000731,DNA synthesis involved in DNA repair,DNA-repair
GO:0001542,ovulation from ovarian follicle,reproduction
GO:0006642,triglyceride mobilization,lipid
GO:0010883,regulation of lipid storage,lipid
GO:0010934,macrophage cytokine production,monocyte
GO:0031393,negative regulation of prostaglandin biosynthetic process,lipid
GO:0034391,regulation of smooth muscle cell apoptotic process,muscle
GO:0035358,regulation of peroxisome proliferator activated receptor signaling pathway,signalling
GO:0042326,negative regulation of phosphorylation,phosphorylation
GO:0042595,behavioral response to starvation,cellular-response
GO:0051152,positive regulation of smooth muscle cell differentiation,muscle
GO:0090335,regulation of brown fat cell differentiation,brain
GO:2000111,positive regulation of macrophage apoptotic process,monocyte
GO:1902176,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,stress-response
GO:0051097,negative regulation of helicase activity,replication
GO:0032071,regulation of endodeoxyribonuclease activity,replication
GO:0000012,single strand break repair,DNA-repair
GO:0051574,positive regulation of histone H3-K9 methylation,histone-chromatin
GO:0045722,positive regulation of gluconeogenesis,growth-regulation
GO:0034983,peptidyl-lysine deacetylation,peptide
GO:0018394,peptidyl-lysine acetylation,peptide
GO:0002821,positive regulation of adaptive immune response,immune
GO:0031937,positive regulation of chromatin silencing,histone-chromatin
GO:0071441,negative regulation of histone H3-K14 acetylation,histone-chromatin
GO:0071900,regulation of protein serine/threonine kinase activity,kinase
GO:0090400,stress-induced premature senescence,aging
GO:1901984,negative regulation of protein acetylation,protein-processing
GO:2000619,negative regulation of histone H4-K16 acetylation,histone-chromatin
GO:2000655,negative regulation of cellular response to testosterone stimulus,environment-sensing
GO:2000757,negative regulation of peptidyl-lysine acetylation,peptide
GO:0031060,regulation of histone methylation,histone-chromatin
GO:0061087,positive regulation of histone H3-K27 methylation,histone-chromatin
GO:0061086,negative regulation of histone H3-K27 methylation,histone-chromatin
GO:0019800,peptide cross-linking via chondroitin 4-sulfate glycosaminoglycan,metabolic-biosynthesis
GO:1900747,negative regulation of vascular endothelial growth factor signaling pathway,blood-vessel
GO:0048599,oocyte development,reproduction
GO:0032543,mitochondrial translation,translation
GO:0019439,aromatic compound catabolic process,catabolic
GO:0097176,epoxide metabolic process,metabolic-biosynthesis
GO:0046272,stilbene catabolic process,catabolic
GO:0006390,mitochondrial transcription,transcription
GO:0001544,initiation of primordial ovarian follicle growth,reproduction
GO:0001547,antral ovarian follicle growth,reproduction
GO:0001556,oocyte maturation,reproduction
GO:0048854,brain morphogenesis,brain
GO:0071548,response to dexamethasone,cellular-response
GO:1901300,positive regulation of hydrogen peroxide-mediated programmed cell death,cell-death
GO:1903428,positive regulation of reactive oxygen species biosynthetic process,environment-sensing
GO:1990785,response to water-immersion restraint stress,stress-response
GO:2000177,regulation of neural precursor cell proliferation,neural-crest
GO:0051666,actin cortical patch localization,cytoskeleton
GO:0000917,division septum assembly,brain
GO:0009826,unidimensional cell growth,morphogenesis
GO:0010591,regulation of lamellipodium assembly,migration
GO:0014839,myoblast migration involved in skeletal muscle regeneration,regeneration-healing
GO:0046324,regulation of glucose import,growth-regulation
GO:0065002,intracellular protein transmembrane transport,protein-processing
GO:0006875,cellular metal ion homeostasis,homeostasis
GO:0010638,positive regulation of organelle organization,migration
GO:0001545,primary ovarian follicle growth,reproduction
GO:0003073,regulation of systemic arterial blood pressure,blood-vessel
GO:0009992,cellular water homeostasis,homeostasis
GO:0010640,regulation of platelet-derived growth factor receptor signaling pathway,red-blood
GO:0022602,ovulation cycle process,reproduction
GO:0032350,regulation of hormone metabolic process,metabolic-biosynthesis
GO:0035093,"spermatogenesis, exchange of chromosomal proteins",reproduction
GO:0043408,regulation of MAPK cascade,MAPK
GO:0060408,regulation of acetylcholine metabolic process,neurotransmitters
GO:0071372,cellular response to follicle-stimulating hormone stimulus,cellular-response
GO:0051894,positive regulation of focal adhesion assembly,ecm
GO:0033137,negative regulation of peptidyl-serine phosphorylation,peptide
GO:0016576,histone dephosphorylation,histone-chromatin
GO:0070262,peptidyl-serine dephosphorylation,peptide
GO:1990108,protein linear deubiquitination,protein-processing
GO:0070431,nucleotide-binding oligomerization domain containing 2 signaling pathway,signalling
GO:1904715,negative regulation of chaperone-mediated autophagy,cell-death
GO:0031023,microtubule organizing center organization,cytoskeleton
GO:0006478,peptidyl-tyrosine sulfation,peptide
GO:0050427,3'-phosphoadenosine 5'-phosphosulfate metabolic process,metabolic-biosynthesis
GO:0006029,proteoglycan metabolic process,metabolic-biosynthesis
GO:0048147,negative regulation of fibroblast proliferation,epidermis
GO:1900363,regulation of mRNA polyadenylation,rna-processing
GO:0010044,response to aluminum ion,cellular-response
GO:0010269,response to selenium ion,cellular-response
GO:0014063,negative regulation of serotonin secretion,neurotransmitters
GO:0045964,positive regulation of dopamine metabolic process,neurotransmitters
GO:0050665,hydrogen peroxide biosynthetic process,metabolic-biosynthesis
GO:0051490,negative regulation of filopodium assembly,migration
GO:0035020,regulation of Rac protein signal transduction,protein-processing
GO:0035021,negative regulation of Rac protein signal transduction,protein-processing
GO:0098886,modification of dendritic spine,spine
GO:0099152,"regulation of neurotransmitter receptor transport, endosome to postsynaptic membrane",cytosis-osome-vesicle
GO:0002035,brain renin-angiotensin system,brain
GO:0045835,negative regulation of meiotic nuclear division,cell-cycle
GO:0060047,heart contraction,muscle
GO:0070613,regulation of protein processing,protein-processing
GO:0071322,cellular response to carbohydrate stimulus,cellular-response
GO:0061951,establishment of protein localization to plasma membrane,protein-processing
GO:0060042,retina morphogenesis in camera-type eye,eye
GO:1902414,protein localization to cell junction,protein-processing
GO:0046488,phosphatidylinositol metabolic process,metabolic-biosynthesis
GO:1902608,positive regulation of large conductance calcium-activated potassium channel activity,calcium
GO:0030505,inorganic diphosphate transport,transport
GO:0031651,negative regulation of heat generation,growth-regulation
GO:0060613,fat pad development,lipid
GO:0071878,negative regulation of adenylate cyclase-activating adrenergic receptor signaling pathway,neurotransmitters
GO:0090327,negative regulation of locomotion involved in locomotory behavior,behavior
GO:1902993,positive regulation of amyloid precursor protein catabolic process,catabolic
GO:0002228,natural killer cell mediated immunity,lymphoid
GO:0006574,valine catabolic process,catabolic
GO:0009083,branched-chain amino acid catabolic process,catabolic
GO:0006751,glutathione catabolic process,catabolic
GO:1901750,leukotriene D4 biosynthetic process,metabolic-biosynthesis
GO:0035878,nail development,hair
GO:0070266,necroptotic process,cell-death
GO:0038123,toll-like receptor TLR1:TLR2 signaling pathway,immune
GO:0038124,toll-like receptor TLR6:TLR2 signaling pathway,immune
GO:0071223,cellular response to lipoteichoic acid,immune
GO:0071726,cellular response to diacyl bacterial lipopeptide,immune
GO:0071727,cellular response to triacyl bacterial lipopeptide,immune
GO:0006975,DNA damage induced protein phosphorylation,phosphorylation
GO:0007100,mitotic centrosome separation,cytoskeleton
GO:0060052,neurofilament cytoskeleton organization,brain
GO:2000574,regulation of microtubule motor activity,cytoskeleton
GO:0047496,vesicle transport along microtubule,transport
GO:0000132,establishment of mitotic spindle orientation,cell-division
GO:0051081,nuclear envelope disassembly,cell-cycle
GO:0051303,establishment of chromosome localization,histone-chromatin
GO:0006420,arginyl-tRNA aminoacylation,ribosome
GO:0043947,positive regulation by host of symbiont catalytic activity,immune
GO:0006082,organic acid metabolic process,metabolic-biosynthesis
GO:0009404,toxin metabolic process,metabolic-biosynthesis
GO:0070995,NADPH oxidation,oxidation
GO:0090110,COPII-coated vesicle cargo loading,transport
GO:0090114,COPII-coated vesicle budding,transport
GO:2000535,regulation of entry of bacterium into host cell,immune
GO:1903775,regulation of DNA double-strand break processing,DNA-repair
GO:1901555,response to paclitaxel,cellular-response
GO:1905705,cellular response to paclitaxel,cellular-response
GO:0002043,blood vessel endothelial cell proliferation involved in sprouting angiogenesis,blood-vessel
GO:0010764,negative regulation of fibroblast migration,migration
GO:0033628,regulation of cell adhesion mediated by integrin,cell-adhesion
GO:0035148,tube formation,neural-tube
GO:0097746,regulation of blood vessel diameter,blood-vessel
GO:0034316,negative regulation of Arp2/3 complex-mediated actin nucleation,cytoskeleton
GO:0071846,actin filament debranching,cytoskeleton
GO:0010447,response to acidic pH,cellular-response
GO:0072144,glomerular mesangial cell development,kidney-ureter
GO:0071799,cellular response to prostaglandin D stimulus,lipid
GO:0030178,negative regulation of Wnt signaling pathway,signalling
GO:1904738,vascular associated smooth muscle cell migration,muscle
GO:0008645,hexose transmembrane transport,transport
GO:0051606,detection of stimulus,muscle
GO:0010968,regulation of microtubule nucleation,cytoskeleton
GO:0006729,tetrahydrobiopterin biosynthetic process,muscle
GO:0006558,L-phenylalanine metabolic process,metabolic-biosynthesis
GO:0034756,regulation of iron ion transport,transport
GO:0071281,cellular response to iron ion,cellular-response
GO:0072512,trivalent inorganic cation transport,transport
GO:0072592,oxygen metabolic process,metabolic-biosynthesis
GO:2000724,positive regulation of cardiac vascular smooth muscle cell differentiation,muscle
GO:0051150,regulation of smooth muscle cell differentiation,muscle
GO:0001560,regulation of cell growth by extracellular stimulus,growth-regulation
GO:0003231,cardiac ventricle development,gut
GO:0010832,negative regulation of myotube differentiation,muscle
GO:0035051,cardiocyte differentiation,heart
GO:0035886,vascular smooth muscle cell differentiation,muscle
GO:0043954,cellular component maintenance,cytoskeleton
GO:0051145,smooth muscle cell differentiation,muscle
GO:0055012,ventricular cardiac muscle cell differentiation,muscle
GO:0097070,ductus arteriosus closure,heart
GO:1900239,regulation of phenotypic switching,environment-sensing
GO:1901228,positive regulation of transcription from RNA polymerase II promoter involved in heart development,transcription
GO:1904753,negative regulation of vascular associated smooth muscle cell migration,muscle
GO:2000587,negative regulation of platelet-derived growth factor receptor-beta signaling pathway,red-blood
GO:2000721,positive regulation of transcription from RNA polymerase II promoter involved in smooth muscle cell differentiation,transcription
GO:2001015,negative regulation of skeletal muscle cell differentiation,muscle
GO:0032425,positive regulation of mismatch repair,DNA-repair
GO:0035825,homologous recombination,DNA-repair
GO:0106047,polyamine deacetylation,metabolic-biosynthesis
GO:0106048,spermidine deacetylation,reproduction
GO:0042450,arginine biosynthetic process via ornithine,metabolic-biosynthesis
GO:0006526,arginine biosynthetic process,metabolic-biosynthesis
GO:0006591,ornithine metabolic process,metabolic-biosynthesis
GO:0006593,ornithine catabolic process,catabolic
GO:0019240,citrulline biosynthetic process,metabolic-biosynthesis
GO:0055081,anion homeostasis,homeostasis
GO:0070781,response to biotin,cellular-response
GO:0097272,ammonia homeostasis,homeostasis
GO:0106005,RNA 5'-cap (guanine-N7)-methylation,methylation
GO:0006323,DNA packaging,histone-chromatin
GO:0051099,positive regulation of binding,metabolic-biosynthesis
GO:0071674,mononuclear cell migration,migration
GO:0006801,superoxide metabolic process,metabolic-biosynthesis
GO:0097411,hypoxia-inducible factor-1alpha signaling pathway,signalling
GO:1904845,cellular response to L-glutamine,cellular-response
GO:1990776,response to angiotensin,cellular-response
GO:0045730,respiratory burst,lung
GO:0010793,regulation of mRNA export from nucleus,rna-processing
GO:0017145,stem cell division,cell-division
GO:0006308,DNA catabolic process,catabolic
GO:0030035,microspike assembly,cytoskeleton
GO:0090091,positive regulation of extracellular matrix disassembly,ecm
GO:0035089,establishment of apical/basal cell polarity,polarity-axis
GO:0006891,intra-Golgi vesicle-mediated transport,transport
GO:0006991,response to sterol depletion,cellular-response
GO:0070070,proton-transporting V-type ATPase complex assembly,transport
GO:0003351,epithelial cilium movement involved in extracellular fluid movement,ecm
GO:0001885,endothelial cell development,blood-vessel
GO:0048845,venous blood vessel morphogenesis,blood-vessel
GO:0060039,pericardium development,heart
GO:0060837,blood vessel endothelial cell differentiation,blood-vessel
GO:0001945,lymph vessel development,lymphoid
GO:0003148,outflow tract septum morphogenesis,heart
GO:0021644,vagus nerve morphogenesis,nerve
GO:0035909,aorta morphogenesis,blood-vessel
GO:0042471,ear morphogenesis,auditory
GO:0043587,tongue morphogenesis,gut
GO:0048703,embryonic viscerocranium morphogenesis,osteo-bone
GO:0048752,semicircular canal morphogenesis,auditory
GO:0060017,parathyroid gland development,glands
GO:0060415,muscle tissue morphogenesis,muscle
GO:0060982,coronary artery morphogenesis,blood-vessel
GO:0070166,enamel mineralization,osteo-bone
GO:2000027,regulation of animal organ morphogenesis,morphogenesis
GO:2001037,positive regulation of tongue muscle cell differentiation,muscle
GO:2001054,negative regulation of mesenchymal cell apoptotic process,cell-death
GO:1901407,regulation of phosphorylation of RNA polymerase II C-terminal domain,transcription
GO:0021897,forebrain astrocyte development,brain
GO:0035022,positive regulation of Rac protein signal transduction,protein-processing
GO:0035900,response to isolation stress,cellular-response
GO:0038002,endocrine signaling,signalling
GO:0051385,response to mineralocorticoid,cellular-response
GO:0061428,negative regulation of transcription from RNA polymerase II promoter in response to hypoxia,transcription
GO:0042264,peptidyl-aspartic acid hydroxylation,peptide
GO:0036138,peptidyl-histidine hydroxylation,peptide
GO:0042265,peptidyl-asparagine hydroxylation,peptide
GO:0070131,positive regulation of mitochondrial translation,translation
GO:0019852,L-ascorbic acid metabolic process,metabolic-biosynthesis
GO:0005989,lactose biosynthetic process,metabolic-biosynthesis
GO:0042908,xenobiotic transport,transport
GO:0070837,dehydroascorbic acid transport,transport
GO:0071474,cellular hyperosmotic response,environment-sensing
GO:1904016,response to Thyroglobulin triiodothyronine,cellular-response
GO:0015816,glycine transport,transport
GO:0032329,serine transport,transport
GO:0089709,L-histidine transmembrane transport,transport
GO:1903713,asparagine transmembrane transport,transport
GO:1904557,L-alanine transmembrane transport,transport
GO:0009264,deoxyribonucleotide catabolic process,catabolic
GO:0046386,deoxyribose phosphate catabolic process,catabolic
GO:0016052,carbohydrate catabolic process,catabolic
GO:0046121,deoxyribonucleoside catabolic process,catabolic
GO:0061419,positive regulation of transcription from RNA polymerase II promoter in response to hypoxia,transcription
GO:0036091,positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress,transcription
GO:0046223,aflatoxin catabolic process,catabolic
GO:1902037,negative regulation of hematopoietic stem cell differentiation,hematopoiesis
GO:1903788,positive regulation of glutathione biosynthetic process,metabolic-biosynthesis
GO:2000121,regulation of removal of superoxide radicals,transport
GO:2000379,positive regulation of reactive oxygen species metabolic process,metabolic-biosynthesis
GO:0080111,DNA demethylation,methylation
GO:0006286,"base-excision repair, base-free sugar-phosphate removal",DNA-repair
GO:0097698,telomere maintenance via base-excision repair,DNA-repair
GO:0014912,negative regulation of smooth muscle cell migration,muscle
GO:0002127,tRNA wobble base cytosine methylation,ribosome
GO:0010961,cellular magnesium ion homeostasis,homeostasis
GO:0031133,regulation of axon diameter,neuron
GO:1901843,positive regulation of high voltage-gated calcium channel activity,calcium
GO:0048278,vesicle docking,transport
GO:0046105,thymidine biosynthetic process,metabolic-biosynthesis
GO:0001845,phagolysosome assembly,cytosis-osome-vesicle
GO:0060244,negative regulation of cell proliferation involved in contact inhibition,ecm
GO:0008594,photoreceptor cell morphogenesis,eye
GO:0042489,negative regulation of odontogenesis of dentin-containing tooth,osteo-bone
GO:0060437,lung growth,lung
GO:0060535,trachea cartilage morphogenesis,lung
GO:0010193,response to ozone,cellular-response
GO:0014854,response to inactivity,cellular-response
GO:0020027,hemoglobin metabolic process,metabolic-biosynthesis
GO:0033591,response to L-ascorbic acid,cellular-response
GO:0080184,response to phenylpropanoid,cellular-response
GO:2001264,negative regulation of C-C chemokine binding,metabolic-biosynthesis
GO:0097500,receptor localization to non-motile cilium,signalling
GO:0021830,interneuron migration from the subpallium to the cortex,neuron
GO:0021943,formation of radial glial scaffolds,brain
GO:0010226,response to lithium ion,cellular-response
GO:0000492,box C/D snoRNP assembly,protein-processing
GO:1990697,protein depalmitoleylation,protein-processing
GO:0016226,iron-sulfur cluster assembly,protein-processing
GO:0097428,protein maturation by iron-sulfur cluster transfer,protein-processing
GO:2001183,negative regulation of interleukin-12 secretion,immune
GO:2001180,negative regulation of interleukin-10 secretion,immune
GO:2001205,negative regulation of osteoclast development,osteo-bone
GO:0045077,negative regulation of interferon-gamma biosynthetic process,immune
GO:0002774,Fc receptor mediated inhibitory signaling pathway,signalling
GO:2000669,negative regulation of dendritic cell apoptotic process,dendritic-cell
GO:0002309,T cell proliferation involved in immune response,lymphoid
GO:0032945,negative regulation of mononuclear cell proliferation,immune
GO:0035548,negative regulation of interferon-beta secretion,immune
GO:0046636,negative regulation of alpha-beta T cell activation,lymphoid
GO:2001186,"negative regulation of CD8-positive, alpha-beta T cell activation",lymphoid
GO:2001193,positive regulation of gamma-delta T cell activation involved in immune response,lymphoid
GO:0015672,monovalent inorganic cation transport,transport
GO:0010881,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion,calcium
GO:0014808,release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,muscle
GO:0071313,cellular response to caffeine,cellular-response
GO:0008334,histone mRNA metabolic process,rna-processing
GO:0019242,methylglyoxal biosynthetic process,metabolic-biosynthesis
GO:0046185,aldehyde catabolic process,catabolic
GO:0006518,peptide metabolic process,metabolic-biosynthesis
GO:0006568,tryptophan metabolic process,metabolic-biosynthesis
GO:0035790,platelet-derived growth factor receptor-alpha signaling pathway,red-blood
GO:0050434,positive regulation of viral transcription,immune
GO:0001193,maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase II promoter,transcription
GO:0072277,metanephric glomerular capillary formation,kidney-ureter
GO:0038091,positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway,red-blood
GO:0061298,retina vasculature development in camera-type eye,eye
GO:2000739,regulation of mesenchymal stem cell differentiation,mesoderm
GO:0030325,adrenal gland development,kidney-ureter
GO:0097502,mannosylation,metabolic-biosynthesis
GO:0006506,GPI anchor biosynthetic process,metabolic-biosynthesis
GO:0019348,dolichol metabolic process,metabolic-biosynthesis
GO:0035268,protein mannosylation,protein-processing
GO:0019673,GDP-mannose metabolic process,brain
GO:0008064,regulation of actin polymerization or depolymerization,cytoskeleton
GO:0016444,somatic cell DNA recombination,DNA-repair
GO:0030835,negative regulation of actin filament depolymerization,cytoskeleton
GO:0033633,negative regulation of cell-cell adhesion mediated by integrin,cell-adhesion
GO:0060754,positive regulation of mast cell chemotaxis,lymphoid
GO:1902309,negative regulation of peptidyl-serine dephosphorylation,peptide
GO:0043248,proteasome assembly,protein-processing
GO:0033033,negative regulation of myeloid cell apoptotic process,hematopoiesis
GO:0061078,positive regulation of prostaglandin secretion involved in immune response,lipid
GO:0061081,positive regulation of myeloid leukocyte cytokine production involved in immune response,hematopoiesis
GO:0090238,positive regulation of arachidonic acid secretion,secretion
GO:0001516,prostaglandin biosynthetic process,lipid
GO:0043030,regulation of macrophage activation,monocyte
GO:0010739,positive regulation of protein kinase A signaling,kinase
GO:0048560,establishment of anatomical structure orientation,polarity-axis
GO:0050893,sensory processing,brain
GO:0061326,renal tubule development,kidney-ureter
GO:1903251,multi-ciliated epithelial cell differentiation,differentiation
GO:0030948,negative regulation of vascular endothelial growth factor receptor signaling pathway,blood-vessel
GO:1903244,positive regulation of cardiac muscle hypertrophy in response to stress,muscle
GO:0033198,response to ATP,cellular-response
GO:0010524,positive regulation of calcium ion transport into cytosol,transport
GO:0002296,T-helper 1 cell lineage commitment,lymphoid
GO:0002829,negative regulation of type 2 immune response,immune
GO:0035771,interleukin-4-mediated signaling pathway,immune
GO:0048295,positive regulation of isotype switching to IgE isotypes,immune
GO:0060443,mammary gland morphogenesis,glands
GO:0051249,regulation of lymphocyte activation,lymphoid
GO:1903039,positive regulation of leukocyte cell-cell adhesion,cell-adhesion
GO:0009913,epidermal cell differentiation,epidermis
GO:0006066,alcohol metabolic process,metabolic-biosynthesis
GO:0042180,cellular ketone metabolic process,metabolic-biosynthesis
GO:0098789,pre-mRNA cleavage required for polyadenylation,rna-processing
GO:0031401,positive regulation of protein modification process,protein-processing
GO:0010835,regulation of protein ADP-ribosylation,protein-processing
GO:0033484,nitric oxide homeostasis,homeostasis
GO:0050805,negative regulation of synaptic transmission,synapse
GO:0033007,negative regulation of mast cell activation involved in immune response,lymphoid
GO:0032516,positive regulation of phosphoprotein phosphatase activity,phosphorylation
GO:0034125,negative regulation of MyD88-dependent toll-like receptor signaling pathway,immune
GO:0050856,regulation of T cell receptor signaling pathway,lymphoid
GO:0051134,negative regulation of NK T cell activation,lymphoid
GO:0060101,"negative regulation of phagocytosis, engulfment",cytosis-osome-vesicle
GO:1902567,negative regulation of eosinophil activation,myeloid
GO:1902569,negative regulation of activation of Janus kinase activity,MAPK
GO:2000417,negative regulation of eosinophil migration,myeloid
GO:0006110,regulation of glycolytic process,metabolic-biosynthesis
GO:0015755,fructose transmembrane transport,transport
GO:1902572,negative regulation of serine-type peptidase activity,protein-processing
GO:0051884,regulation of timing of anagen,protein-processing
GO:0002787,negative regulation of antibacterial peptide production,immune
GO:0000054,ribosomal subunit export from nucleus,transport
GO:0006415,translational termination,translation
GO:0060702,negative regulation of endoribonuclease activity,metabolic-biosynthesis
GO:0016254,preassembly of GPI anchor in ER membrane,protein-processing
GO:1904948,midbrain dopaminergic neuron differentiation,neurotransmitters
GO:0021587,cerebellum morphogenesis,brain
GO:0021794,thalamus development,brain
GO:0030917,midbrain-hindbrain boundary development,brain
GO:0035261,external genitalia morphogenesis,reproduction
GO:0044335,canonical Wnt signaling pathway involved in neural crest cell differentiation,neural-crest
GO:0048596,embryonic camera-type eye morphogenesis,eye
GO:0060026,convergent extension,metabolic-biosynthesis
GO:0090118,receptor-mediated endocytosis involved in cholesterol transport,cytosis-osome-vesicle
GO:0090244,Wnt signaling pathway involved in somitogenesis,mesoderm
GO:0090245,axis elongation involved in somitogenesis,polarity-axis
GO:1904953,Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation,neurotransmitters
GO:0038192,gastric inhibitory peptide signaling pathway,gut
GO:0002029,desensitization of G protein-coupled receptor signaling pathway,signalling
GO:0006972,hyperosmotic response,environment-sensing
GO:0010594,regulation of endothelial cell migration,blood-vessel
GO:0018011,N-terminal peptidyl-alanine methylation,peptide
GO:0018013,N-terminal peptidyl-glycine methylation,peptide
GO:0018016,N-terminal peptidyl-proline dimethylation,peptide
GO:0035568,N-terminal peptidyl-proline methylation,peptide
GO:0035570,N-terminal peptidyl-serine methylation,peptide
GO:0035572,N-terminal peptidyl-serine dimethylation,peptide
GO:0035573,N-terminal peptidyl-serine trimethylation,peptide
GO:0018012,N-terminal peptidyl-alanine trimethylation,peptide
GO:0097091,synaptic vesicle clustering,synapse
GO:0021944,neuronal-glial interaction involved in hindbrain glial-mediated radial cell migration,neuron
GO:0061744,motor behavior,behavior
GO:0120036,plasma membrane bounded cell projection organization,ecm
GO:1903976,negative regulation of glial cell migration,brain
GO:0045762,positive regulation of adenylate cyclase activity,brain
GO:0099149,regulation of postsynaptic neurotransmitter receptor internalization,neurotransmitters
GO:1901986,response to ketamine,cellular-response
GO:1904009,cellular response to monosodium glutamate,neurotransmitters
GO:1904010,response to Aroclor 1254,cellular-response
GO:0010172,embryonic body morphogenesis,blastocyst
GO:0051683,establishment of Golgi localization,transport
GO:0072384,organelle transport along microtubule,cytoskeleton
GO:0051684,maintenance of Golgi location,transport
GO:0044237,cellular metabolic process,metabolic-biosynthesis
GO:0061036,positive regulation of cartilage development,osteo-bone
GO:1903012,positive regulation of bone development,osteo-bone
GO:0035437,maintenance of protein localization in endoplasmic reticulum,protein-processing
GO:0021544,subpallium development,brain
GO:0021889,olfactory bulb interneuron differentiation,olfactory
GO:0048665,neuron fate specification,neuron
GO:0060163,subpallium neuron fate commitment,neuron
GO:0007258,JUN phosphorylation,phosphorylation
GO:0061833,protein localization to tricellular tight junction,ecm
GO:0032511,late endosome to vacuole transport via multivesicular body sorting pathway,cytosis-osome-vesicle
GO:0097494,regulation of vesicle size,transport
GO:0030322,stabilization of membrane potential,muscle
GO:1904206,positive regulation of skeletal muscle hypertrophy,muscle
GO:0070293,renal absorption,kidney-ureter
GO:0019371,cyclooxygenase pathway,environment-sensing
GO:0016488,farnesol catabolic process,catabolic
